Angle [Radians],f(x)
0,0
0.01,0.159611098
0.02,0.318409739
0.03,0.47558897
0.04,0.630352808
0.05,0.78192162
0.06,0.929537384
0.07,1.072468783
0.08,1.210016108
0.09,1.341515918
0.1,1.466345428
0.11,1.583926602
0.12,1.693729903
0.13,1.795277688
0.14,1.888147217
0.15,1.971973249
0.16,2.046450217
0.17,2.111333963
0.18,2.16644301
0.19,2.211659386
0.2,2.246928969
0.21,2.27226137
0.22,2.287729355
0.23,2.293467795
0.24,2.289672181
0.25,2.276596692
0.26,2.254551845
0.27,2.223901749
0.28,2.18506097
0.29,2.138491059
0.3,2.084696738
0.31,2.024221806
0.32,1.957644775
0.33,1.885574284
0.34,1.808644323
0.35,1.727509296
0.36,1.642838987
0.37,1.555313435
0.38,1.465617784
0.39,1.374437138
0.4,1.282451458
0.41,1.190330549
0.42,1.098729169
0.43,1.008282298
0.44,0.919600604
0.45,0.833266145
0.46,0.749828328
0.47,0.669800171
0.48,0.593654877
0.49,0.521822761
0.5,0.454688547
0.51,0.392589047
0.52,0.335811252
0.53,0.284590831
0.54,0.239111063
0.55,0.199502197
0.56,0.165841249
0.57,0.138152227
0.58,0.116406792
0.59,0.100525329
0.6,0.090378438
0.61,0.085788807
0.62,0.086533475
0.63,0.092346437
0.64,0.102921588
0.65,0.117915975
0.66,0.136953318
0.67,0.159627785
0.68,0.185507975
0.69,0.214141086
0.7,0.245057221
0.71,0.277773807
0.72,0.311800079
0.73,0.346641601
0.74,0.381804777
0.75,0.41680132
0.76,0.451152642
0.77,0.484394125
0.78,0.516079239
0.79,0.545783477
0.8,0.573108067
0.81,0.597683435
0.82,0.619172394
0.83,0.63727303
0.84,0.651721253
0.85,0.662293011
0.86,0.668806136
0.87,0.671121806
0.88,0.669145626
0.89,0.662828301
0.9,0.652165914
0.91,0.637199792
0.92,0.61801598
0.93,0.594744308
0.94,0.567557074
0.95,0.53666736
0.96,0.50232697
0.97,0.464824042
0.98,0.424480331
0.99,0.381648196
1,0.336707316
1.01,0.29006116
1.02,0.242133256
1.03,0.193363261
1.04,0.144202908
1.05,0.095111818
1.06,0.046553257
1.07,-0.001010156
1.08,-0.047120743
1.09,-0.091330023
1.1,-0.133202893
1.11,-0.172321711
1.12,-0.208290225
1.13,-0.240737329
1.14,-0.269320616
1.15,-0.293729678
1.16,-0.313689147
1.17,-0.328961435
1.18,-0.339349158
1.19,-0.34469721
1.2,-0.34489449
1.21,-0.33987524
1.22,-0.329620003
1.23,-0.314156181
1.24,-0.293558186
1.25,-0.267947186
1.26,-0.237490453
1.27,-0.202400293
1.28,-0.162932597
1.29,-0.119385
1.3,-0.072094673
1.31,-0.021435765
1.32,0.032183496
1.33,0.088323999
1.34,0.146519242
1.35,0.20627907
1.36,0.26709365
1.37,0.328437627
1.38,0.389774448
1.39,0.450560814
1.4,0.510251208
1.41,0.568302489
1.42,0.624178487
1.43,0.677354582
1.44,0.727322212
1.45,0.773593292
1.46,0.815704486
1.47,0.853221309
1.48,0.885742025
1.49,0.912901297
1.5,0.934373577
1.51,0.949876181
1.52,0.959172046
1.53,0.962072133
1.54,0.958437458
1.55,0.948180725
1.56,0.93126756
1.57,0.907717319
1.58,0.877603476
1.59,0.841053569
1.6,0.798248715
1.61,0.74942269
1.62,0.694860582
1.63,0.634897024
1.64,0.569914014
1.65,0.500338349
1.66,0.426638679
1.67,0.349322211
1.68,0.268931082
1.69,0.186038437
1.7,0.101244224
1.71,0.01517076
1.72,-0.071541916
1.73,-0.158240855
1.74,-0.244265151
1.75,-0.328950977
1.76,-0.411636691
1.77,-0.491667944
1.78,-0.568402777
1.79,-0.641216642
1.8,-0.709507326
1.81,-0.772699733
1.82,-0.830250485
1.83,-0.8816523
1.84,-0.926438127
1.85,-0.964184993
1.86,-0.99451753
1.87,-1.01711116
1.88,-1.031694915
1.89,-1.038053852
1.9,-1.036031066
1.91,-1.025529264
1.92,-1.006511898
1.93,-0.979003846
1.94,-0.943091625
1.95,-0.898923151
1.96,-0.84670702
1.97,-0.786711347
1.98,-0.719262137
1.99,-0.644741231
2,-0.563583809
2.01,-0.476275501
2.02,-0.383349104
2.03,-0.285380934
2.04,-0.182986846
2.05,-0.076817951
2.06,0.032443947
2.07,0.14409115
2.08,0.257395069
2.09,0.37161139
2.1,0.485985375
2.11,0.599757239
2.12,0.712167583
2.13,0.822462822
2.14,0.929900587
2.15,1.033755042
2.16,1.13332209
2.17,1.227924415
2.18,1.316916337
2.19,1.399688432
2.2,1.475671883
2.21,1.544342536
2.22,1.605224629
2.23,1.657894153
2.24,1.701981842
2.25,1.73717575
2.26,1.763223413
2.27,1.779933557
2.28,1.787177373
2.29,1.784889313
2.3,1.773067434
2.31,1.751773264
2.32,1.721131212
2.33,1.681327508
2.34,1.632608698
2.35,1.575279699
2.36,1.509701432
2.37,1.436288049
2.38,1.35550378
2.39,1.267859427
2.4,1.173908523
2.41,1.0742432
2.42,0.969489784
2.43,0.860304168
2.44,0.747366981
2.45,0.631378609
2.46,0.513054088
2.47,0.393117925
2.48,0.27229888
2.49,0.151324746
2.5,0.030917171
2.51,-0.088213436
2.52,-0.205372879
2.53,-0.319887999
2.54,-0.431111291
2.55,-0.538425305
2.56,-0.641246775
2.57,-0.739030461
2.58,-0.831272673
2.59,-0.917514442
2.6,-0.997344325
2.61,-1.070400826
2.62,-1.136374407
2.63,-1.195009077
2.64,-1.246103565
2.65,-1.289512047
2.66,-1.325144438
2.67,-1.352966249
2.68,-1.372998012
2.69,-1.385314272
2.7,-1.390042177
2.71,-1.38735965
2.72,-1.377493198
2.73,-1.360715337
2.74,-1.337341696
2.75,-1.307727792
2.76,-1.272265527
2.77,-1.231379431
2.78,-1.185522672
2.79,-1.135172891
2.8,-1.080827869
2.81,-1.023001085
2.82,-0.962217196
2.83,-0.899007467
2.84,-0.833905202
2.85,-0.767441208
2.86,-0.700139332
2.87,-0.632512099
2.88,-0.565056505
2.89,-0.498249974
2.9,-0.432546538
2.91,-0.368373253
2.92,-0.306126883
2.93,-0.246170887
2.94,-0.188832718
2.95,-0.134401476
2.96,-0.083125908
2.97,-0.035212788
2.98,0.009174308
2.99,0.049915847
3,0.086936768
3.01,0.120206519
3.02,0.149738686
3.03,0.175590223
3.04,0.197860305
3.05,0.216688789
3.06,0.232254321
3.07,0.244772097
3.08,0.254491293
3.09,0.261692205
3.1,0.266683097
3.11,0.269796816
3.12,0.271387182
3.13,0.271825186
3.14,0.271495049
3.15,0.270790149
3.16,0.270108875
3.17,0.26985043
3.18,0.270410624
3.19,0.2721777
3.2,0.275528215
3.21,0.280823029
3.22,0.288403427
3.23,0.298587407
3.24,0.311666172
3.25,0.327900859
3.26,0.347519524
3.27,0.37071442
3.28,0.397639585
3.29,0.428408771
3.3,0.463093722
3.31,0.501722828
3.32,0.544280155
3.33,0.590704878
3.34,0.640891109
3.35,0.694688126
3.36,0.751901013
3.37,0.81229169
3.38,0.875580346
3.39,0.941447243
3.4,1.009534903
3.41,1.079450632
3.42,1.15076939
3.43,1.223036964
3.44,1.295773429
3.45,1.368476864
3.46,1.440627303
3.47,1.511690872
3.48,1.5811241
3.49,1.648378344
3.5,1.712904322
3.51,1.774156685
3.52,1.831598617
3.53,1.884706405
3.54,1.932973957
3.55,1.975917218
3.56,2.013078456
3.57,2.044030375
3.58,2.068380022
3.59,2.085772464
3.6,2.095894186
3.61,2.098476194
3.62,2.093296794
3.63,2.080184016
3.64,2.05901767
3.65,2.029731007
3.66,1.992311974
3.67,1.946804049
3.68,1.893306647
3.69,1.831975091
3.7,1.763020143
3.71,1.686707101
3.72,1.603354466
3.73,1.513332178
3.74,1.417059443
3.75,1.315002169
3.76,1.207670009
3.77,1.095613057
3.78,0.979418201
3.79,0.859705175
3.8,0.737122328
3.81,0.612342146
3.82,0.486056561
3.83,0.358972088
3.84,0.231804809
3.85,0.105275269
3.86,-0.019896704
3.87,-0.142997197
3.88,-0.263323389
3.89,-0.380188683
3.9,-0.49292773
3.91,-0.600901322
3.92,-0.703501114
3.93,-0.800154134
3.94,-0.890327038
3.95,-0.973530103
3.96,-1.04932089
3.97,-1.117307581
3.98,-1.177151943
3.99,-1.2285719
4,-1.271343695
4.01,-1.30530363
4.02,-1.330349351
4.03,-1.346440686
4.04,-1.353600022
4.05,-1.351912212
4.06,-1.341524024
4.07,-1.322643117
4.08,-1.295536575
4.09,-1.260528985
4.1,-1.21800009
4.11,-1.16838203
4.12,-1.112156183
4.13,-1.049849648
4.14,-0.982031373
4.15,-0.909307978
4.16,-0.832319294
4.17,-0.751733652
4.18,-0.668242959
4.19,-0.582557605
4.2,-0.495401224
4.21,-0.407505363
4.22,-0.3196041
4.23,-0.232428639
4.24,-0.146701931
4.25,-0.063133372
4.26,0.017586407
4.27,0.094790591
4.28,0.16784105
4.29,0.236132991
4.3,0.299099347
4.31,0.356214878
4.32,0.406999952
4.33,0.451023974
4.34,0.48790844
4.35,0.517329597
4.36,0.539020678
4.37,0.552773714
4.38,0.558440886
4.39,0.555935434
4.4,0.545232091
4.41,0.526367065
4.42,0.499437546
4.43,0.464600766
4.44,0.422072595
4.45,0.372125717
4.46,0.315087364
4.47,0.25133666
4.48,0.181301575
4.49,0.105455525
4.5,0.024313637
4.51,-0.061571282
4.52,-0.15161305
4.53,-0.245196647
4.54,-0.34168295
4.55,-0.440413629
4.56,-0.540716174
4.57,-0.641908993
4.58,-0.743306562
4.59,-0.84422458
4.6,-0.943985082
4.61,-1.041921479
4.62,-1.137383486
4.63,-1.22974189
4.64,-1.318393138
4.65,-1.402763692
4.66,-1.482314132
4.67,-1.556542974
4.68,-1.624990159
4.69,-1.687240216
4.7,-1.742925044
4.71,-1.79172632
4.72,-1.833377496
4.73,-1.867665383
4.74,-1.894431311
4.75,-1.913571845
4.76,-1.925039079
4.77,-1.928840474
4.78,-1.925038282
4.79,-1.913748527
4.8,-1.895139579
4.81,-1.869430322
4.82,-1.836887935
4.83,-1.797825311
4.84,-1.75259813
4.85,-1.701601616
4.86,-1.645266999
4.87,-1.584057729
4.88,-1.518465448
4.89,-1.449005781
4.9,-1.376213959
4.91,-1.30064033
4.92,-1.222845776
4.93,-1.143397088
4.94,-1.062862333
4.95,-0.98180625
4.96,-0.900785711
4.97,-0.820345287
4.98,-0.741012959
4.99,-0.663295993
5,-0.587677033
5.01,-0.51461043
5.02,-0.444518835
5.03,-0.377790095
5.04,-0.314774464
5.05,-0.255782154
5.06,-0.201081252
5.07,-0.150896005
5.08,-0.105405503
5.09,-0.064742752
5.1,-0.028994153
5.11,0.00180061
5.12,0.027648278
5.13,0.048601326
5.14,0.064756873
5.15,0.076255213
5.16,0.083277976
5.17,0.086045932
5.18,0.084816472
5.19,0.079880771
5.2,0.071560668
5.21,0.060205298
5.22,0.046187479
5.23,0.029899926
5.24,0.011751283
5.25,-0.007837962
5.26,-0.028439655
5.27,-0.049622214
5.28,-0.070954882
5.29,-0.092011967
5.3,-0.112377021
5.31,-0.131646932
5.32,-0.149435893
5.33,-0.165379204
5.34,-0.179136883
5.35,-0.190397052
5.36,-0.198879072
5.37,-0.204336385
5.38,-0.206559063
5.39,-0.205376014
5.4,-0.20065685
5.41,-0.192313378
5.42,-0.180300723
5.43,-0.164618045
5.44,-0.145308876
5.45,-0.122461039
5.46,-0.096206176
5.47,-0.066718871
5.48,-0.03421538
5.49,0.001048019
5.5,0.038777056
5.51,0.07864184
5.52,0.120279582
5.53,0.163297622
5.54,0.207276746
5.55,0.251774775
5.56,0.296330376
5.57,0.340467088
5.58,0.383697502
5.59,0.425527592
5.6,0.465461133
5.61,0.503004186
5.62,0.537669607
5.63,0.568981544
5.64,0.59647988
5.65,0.619724588
5.66,0.638299964
5.67,0.651818693
5.68,0.659925723
5.69,0.662301905
5.7,0.658667374
5.71,0.648784636
5.72,0.63246134
5.73,0.609552702
5.74,0.579963564
5.75,0.543650069
5.76,0.500620931
5.77,0.450938295
5.78,0.394718167
5.79,0.332130416
5.8,0.263398338
5.81,0.188797791
5.82,0.108655901
5.83,0.023349336
5.84,-0.06669782
5.85,-0.161016595
5.86,-0.259096038
5.87,-0.360386484
5.88,-0.464303157
5.89,-0.57023008
5.9,-0.677524268
5.91,-0.785520168
5.92,-0.893534315
5.93,-1.000870168
5.94,-1.106823093
5.95,-1.210685447
5.96,-1.311751732
5.97,-1.409323776
5.98,-1.502715899
5.99,-1.591260028
6,-1.674310717
6.01,-1.751250037
6.02,-1.821492295
6.03,-1.884488542
6.04,-1.939730844
6.05,-1.986756273
6.06,-2.025150585
6.07,-2.054551565
6.08,-2.074652007
6.09,-2.0852023
6.1,-2.086012606
6.11,-2.076954613
6.12,-2.057962836
6.13,-2.02903547
6.14,-1.990234778
6.15,-1.941687011
6.16,-1.883581862
6.17,-1.816171454
6.18,-1.739768867
6.19,-1.654746223
6.2,-1.561532327
6.21,-1.460609898
6.22,-1.352512397
6.23,-1.23782048
6.24,-1.117158109
6.25,-0.99118833
6.26,-0.860608778
6.27,-0.726146911
6.28,-0.588555038
6.29,-0.448605158
6.3,-0.307083653
6.31,-0.164785882
6.32,-0.02251071
6.33,0.118944986
6.34,0.258791793
6.35,0.396253178
6.36,0.530570798
6.37,0.661009678
6.38,0.786863207
6.39,0.907457914
6.4,1.022157993
6.41,1.130369552
6.42,1.231544527
6.43,1.325184267
6.44,1.410842739
6.45,1.488129334
6.46,1.556711264
6.47,1.616315523
6.48,1.666730404
6.49,1.707806549
6.5,1.739457553
6.51,1.761660082
6.52,1.774453544
6.53,1.77793928
6.54,1.772279316
6.55,1.757694659
6.56,1.734463179
6.57,1.702917064
6.58,1.663439902
6.59,1.616463383
6.6,1.562463673
6.61,1.501957474
6.62,1.435497803
6.63,1.363669539
6.64,1.287084745
6.65,1.206377831
6.66,1.122200582
6.67,1.035217086
6.68,0.946098614
6.69,0.855518483
6.7,0.764146947
6.71,0.672646151
6.72,0.581665191
6.73,0.491835318
6.74,0.403765319
6.75,0.318037116
6.76,0.23520161
6.77,0.155774804
6.78,0.080234242
6.79,0.00901577
6.8,-0.057489328
6.81,-0.118936835
6.82,-0.175031685
6.83,-0.225529661
6.84,-0.270238647
6.85,-0.309019471
6.86,-0.341786297
6.87,-0.368506595
6.88,-0.389200668
6.89,-0.403940767
6.9,-0.412849776
6.91,-0.416099504
6.92,-0.413908588
6.93,-0.40654003
6.94,-0.394298383
6.95,-0.377526627
6.96,-0.356602743
6.97,-0.331936033
6.98,-0.303963199
6.99,-0.273144236
7,-0.239958149
7.01,-0.204898556
7.02,-0.168469193
7.03,-0.131179374
7.04,-0.093539428
7.05,-0.05605617
7.06,-0.019228429
7.07,0.016457325
7.08,0.050531219
7.09,0.082544044
7.1,0.112071124
7.11,0.13871594
7.12,0.162113501
7.13,0.181933417
7.14,0.197882662
7.15,0.209707989
7.16,0.217197998
7.17,0.220184826
7.18,0.218545449
7.19,0.21220259
7.2,0.201125225
7.21,0.185328681
7.22,0.164874329
7.23,0.139868879
7.24,0.11046327
7.25,0.076851188
7.26,0.039267206
7.27,-0.002015428
7.28,-0.046687344
7.29,-0.094405901
7.3,-0.144798344
7.31,-0.197465207
7.32,-0.251983951
7.33,-0.307912806
7.34,-0.364794772
7.35,-0.422161759
7.36,-0.479538814
7.37,-0.536448422
7.38,-0.592414816
7.39,-0.646968283
7.4,-0.699649417
7.41,-0.750013281
7.42,-0.797633455
7.43,-0.842105919
7.44,-0.883052744
7.45,-0.920125573
7.46,-0.953008833
7.47,-0.981422677
7.48,-1.005125618
7.49,-1.023916832
7.5,-1.037638113
7.51,-1.046175462
7.52,-1.049460294
7.53,-1.047470253
7.54,-1.040229626
7.55,-1.027809353
7.56,-1.010326635
7.57,-0.987944131
7.58,-0.960868761
7.59,-0.929350122
7.6,-0.893678524
7.61,-0.854182661
7.62,-0.811226949
7.63,-0.765208531
7.64,-0.716553993
7.65,-0.665715801
7.66,-0.613168501
7.67,-0.559404704
7.68,-0.504930899
7.69,-0.450263113
7.7,-0.395922465
7.71,-0.342430656
7.72,-0.290305413
7.73,-0.240055944
7.74,-0.192178434
7.75,-0.147151615
7.76,-0.105432462
7.77,-0.067452028
7.78,-0.03361148
7.79,-0.004278351
7.8,0.020216956
7.81,0.039584376
7.82,0.05357708
7.83,0.061994036
7.84,0.064682207
7.85,0.061538373
7.86,0.052510549
7.87,0.037599003
7.88,0.016856835
7.89,-0.009609852
7.9,-0.041642232
7.91,-0.07902946
7.92,-0.121509802
7.93,-0.168772201
7.94,-0.220458239
7.95,-0.276164512
7.96,-0.335445381
7.97,-0.397816086
7.98,-0.4627562
7.99,-0.529713398
8,-0.59810751
8.01,-0.667334828
8.02,-0.736772642
8.03,-0.80578395
8.04,-0.873722334
8.05,-0.939936939
8.06,-1.003777528
8.07,-1.064599578
8.08,-1.121769363
8.09,-1.174668999
8.1,-1.2227014
8.11,-1.265295112
8.12,-1.301908988
8.13,-1.332036654
8.14,-1.355210754
8.15,-1.371006912
8.16,-1.379047402
8.17,-1.379004482
8.18,-1.370603373
8.19,-1.353624854
8.2,-1.327907449
8.21,-1.293349198
8.22,-1.249908983
8.23,-1.197607407
8.24,-1.136527213
8.25,-1.066813243
8.26,-0.988671925
8.27,-0.902370306
8.28,-0.808234619
8.29,-0.706648412
8.3,-0.598050238
8.31,-0.482930925
8.32,-0.36183045
8.33,-0.235334442
8.34,-0.104070326
8.35,0.031296852
8.36,0.170068881
8.37,0.311519118
8.38,0.454897421
8.39,0.599435287
8.4,0.744351125
8.41,0.888855638
8.42,1.03215728
8.43,1.173467727
8.44,1.312007344
8.45,1.447010585
8.46,1.57773131
8.47,1.703447947
8.48,1.823468498
8.49,1.937135315
8.5,2.043829636
8.51,2.142975839
8.52,2.234045371
8.53,2.316560347
8.54,2.390096767
8.55,2.454287342
8.56,2.508823905
8.57,2.553459392
8.58,2.588009367
8.59,2.612353101
8.6,2.626434176
8.61,2.630260625
8.62,2.623904604
8.63,2.607501598
8.64,2.581249167
8.65,2.545405247
8.66,2.500286021
8.67,2.446263371
8.68,2.383761933
8.69,2.313255786
8.7,2.235264794
8.71,2.150350632
8.72,2.059112528
8.73,1.962182755
8.74,1.860221905
8.75,1.753913989
8.76,1.643961391
8.77,1.531079727
8.78,1.41599264
8.79,1.299426572
8.8,1.182105558
8.81,1.064746079
8.82,0.948052012
8.83,0.832709718
8.84,0.719383305
8.85,0.608710097
8.86,0.50129635
8.87,0.397713245
8.88,0.298493178
8.89,0.204126394
8.9,0.115057967
8.91,0.031685163
8.92,-0.045644801
8.93,-0.116636594
8.94,-0.18104817
8.95,-0.238691756
8.96,-0.289434385
8.97,-0.333198004
8.98,-0.369959144
8.99,-0.399748158
9,-0.422648039
9.01,-0.438792835
9.02,-0.448365664
9.03,-0.451596361
9.04,-0.44875877
9.05,-0.440167711
9.06,-0.426175641
9.07,-0.40716905
9.08,-0.383564615
9.09,-0.355805141
9.1,-0.324355339
9.11,-0.289697463
9.12,-0.252326844
9.13,-0.21274737
9.14,-0.171466935
9.15,-0.128992907
9.16,-0.085827646
9.17,-0.042464107
9.18,0.000618424
9.19,0.04295844
9.2,0.084116127
9.21,0.123677054
9.22,0.161255605
9.23,0.196498127
9.24,0.229085774
9.25,0.258737015
9.26,0.285209794
9.27,0.308303321
9.28,0.327859482
9.29,0.343763858
9.3,0.355946343
9.31,0.364381363
9.32,0.369087686
9.33,0.37012784
9.34,0.36760713
9.35,0.361672278
9.36,0.352509681
9.37,0.340343329
9.38,0.325432374
9.39,0.308068388
9.4,0.288572339
9.41,0.267291288
9.42,0.244594869
9.43,0.22087155
9.44,0.196524738
9.45,0.171968733
9.46,0.147624595
9.47,0.123915931
9.48,0.101264665
9.49,0.080086812
9.5,0.060788294
9.51,0.043760841
9.52,0.029378009
9.53,0.017991347
9.54,0.009926752
9.55,0.00548104
9.56,0.004918768
9.57,0.008469324
9.58,0.016324327
9.59,0.028635347
9.6,0.045511973
9.61,0.067020241
9.62,0.093181448
9.63,0.123971343
9.64,0.159319729
9.65,0.199110461
9.66,0.24318185
9.67,0.291327471
9.68,0.343297368
9.69,0.398799651
9.7,0.457502469
9.71,0.519036343
9.72,0.582996852
9.73,0.648947634
9.74,0.716423695
9.75,0.784934987
9.76,0.853970234
9.77,0.923000974
9.78,0.991485779
9.79,1.058874627
9.8,1.124613388
9.81,1.188148379
9.82,1.248930963
9.83,1.306422148
9.84,1.360097146
9.85,1.409449861
9.86,1.453997259
9.87,1.493283595
9.88,1.526884446
9.89,1.55441054
9.9,1.575511315
9.91,1.589878213
9.92,1.597247653
9.93,1.597403675
9.94,1.590180215
9.95,1.575463009
9.96,1.553191095
9.97,1.523357906
9.98,1.486011931
9.99,1.441256957
10,1.389251867